Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
2012-06-29,People Like Us,"After flying home to L.A. for the funeral of his estranged record-producer father, a struggling man discovers that the will stipulates that he must deliver $150,000 in cash to a 30-year-old alcoholic sister he never knew existed, and her troubled 12-year-old son.",13.382,508,6.8,en,Drama,https://image.tmdb.org/t/p/original/aXfIwSJogLjQdmX9Qzhkeuv3HQI.jpg
1956-03-28,Alexander the Great,"He was a fierce military commander who led huge armies into battle without a single defeat; a magnificent warrior who many believed was part god - this was Alexander the Great (Richard Burton), the legendary Greek hero hailed by his countrymen as ""The King of Kings"". Born in 356 B.C. into a turbulent world of political unrest, educated by Aristotle (Barry Jones) and chosen to lead his people in the grand tradition of his powerful father (Fredric March), this glamorous world conqueror rose above all conflict to unite the continents of Europe and Asia to become one of the most celebrated rulers of all time! Written, produced and directed by Oscar - winner Robert Rossen and featuring the extraordinary Claire Bloom and a remarkable cast of thousands, this stunning portrait of one of history's most fascinating figures is colossal entertainment and an amazing spectacle.",13.382,61,5.8,en,"Action, Adventure, Drama, History, War",https://image.tmdb.org/t/p/original/e3P3GiCKaEmLxzibDMzALmPbEHL.jpg
2010-08-20,Arctic Predator,A team searching for a long-lost ship in the Arctic unwittingly unleash an alien creature that looks like it's made of ice.,13.381,30,5.8,en,"Action, Science Fiction, Thriller",https://image.tmdb.org/t/p/original/gK3HXe2Edg0jASvtwCSerU8hG84.jpg
1999-09-17,For Love of the Game,"A baseball legend almost finished with his distinguished career at the age of forty has one last chance to prove who he is, what he is capable of, and win the heart of the woman he has loved for the past four years.",13.381,316,6.5,en,"Drama, Romance",https://image.tmdb.org/t/p/original/vkeKxoSXE1qMArcFNTNBBH8TjKZ.jpg
2016-09-01,The 9th Life of Louis Drax,A psychologist who begins working with a young boy who has suffered a near-fatal fall finds himself drawn into a mystery that tests the boundaries of fantasy and reality.,13.379,359,6.4,en,"Fantasy, Mystery, Thriller, Drama",https://image.tmdb.org/t/p/original/j4aI8CTYQouE98IlYsEZim06yyx.jpg
1947-05-26,Black Narcissus,"A group of Anglican nuns, led by Sister Clodagh, are sent to a mountain in the Himalayas. The climate in the region is hostile and the nuns are housed in an odd old palace. They work to establish a school and a hospital, but slowly their focus shifts. Sister Ruth falls for a government worker, Mr. Dean, and begins to question her vow of celibacy. As Sister Ruth obsesses over Mr. Dean, Sister Clodagh becomes immersed in her own memories of love.",13.379,330,7.7,en,Drama,https://image.tmdb.org/t/p/original/37TXnILqURzYqpFjLY5qzLgEF0n.jpg
1988-10-29,Moonwalker,"A movie that starts out with the ""Man in the Mirror"" music video, it then changes to a montage of video clips of Michael's career. Next comes a parody of his Bad video by children, and then Michael is chased by fans in a fantasy sequence. 2 more videos are shown, and then a movie in which Michael plays a hero with magical powers. In it he is chased by drug dealer Mr. Big and saves three children. Videos included in the movie are ""Smooth Criminal"" and ""Come Together"".",13.379,415,6.8,en,"Fantasy, Music",https://image.tmdb.org/t/p/original/3GwTPQkAcgDeAirRpEuJG8HDdRz.jpg
2017-09-29,Our Souls at Night,"Addie Moore and Louis Waters, a widow and widower, have lived next to each other for years. The pair have almost no relationship, but that all changes when Addie tries to make a connection with her neighbour.",13.378,357,6.6,en,"Romance, Drama",https://image.tmdb.org/t/p/original/49136pSuzcNpzOgn4slkU9shHhi.jpg
2013-09-17,In Secret,"In 1860s Paris, a young woman, Therese, is trapped in a loveless marriage to the sickly Camille by her domineering aunt, Madame Raquin. She spends her days behind the counter of a small shop and her evenings watching Madame play dominos with an eclectic group. After she meets her husband’s alluring friend, Laurent, she embarks on an illicit affair that leads to tragic consequences. Based on Emile Zola’s novel, Thérèse Raquin.",13.378,151,6.0,en,"Drama, Thriller, Crime",https://image.tmdb.org/t/p/original/zroAJKYqhwougXEOqgcvfcehtCF.jpg
2007-12-05,The Deaths of Ian Stone,"Deaths tells the story of an all-American guy who is murdered each day by horrifying pursuers, only to wake up in slightly different lives to experience the terror of being murdered again.",13.378,232,5.5,en,"Horror, Thriller",https://image.tmdb.org/t/p/original/guhprfoix4DCKnbPeVQXuF08rHt.jpg
1995-09-22,To Die For,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",13.378,587,6.6,en,"Drama, Comedy, Crime",https://image.tmdb.org/t/p/original/aedhsShrlJVhLlwhtlmFJgR4Szs.jpg
2014-10-08,"My Love, My Bride","Young Min and Mi Young are young couple who get married after graduating from college. Following the honeymoon period, they begin to bicker with each other. While waiting for her husband at a cafe one day, Mi Young bumps into her ex-boss. Young Min sees this and gets the wrong idea. As they struggle to make their marriage work, Young Min and Mi Young gradually understand what love really is.",13.377,28,7.0,ko,"Comedy, Romance",https://image.tmdb.org/t/p/original/wXNfDjT5Iw4i73EPgcAAPXf9FbC.jpg
2011-09-30,Take Shelter,"Plagued by a series of apocalyptic visions, a young husband and father questions whether to shelter his family from a coming storm, or from himself.",13.377,1317,7.1,en,"Thriller, Drama, Horror",https://image.tmdb.org/t/p/original/zLZQv7cN8ckBEa7HvjYkm2wx7F9.jpg
1981-12-25,Reds,"An account of the revolutionary years of the legendary American journalist John Reed, who shared his adventurous professional life with his radical commitment to the socialist revolution in Russia, his dream of spreading its principles among the members of the American working class, and his troubled romantic relationship with the writer Louise Bryant.",13.377,234,7.0,en,"Drama, History, Romance",https://image.tmdb.org/t/p/original/3jOs4aWI7XSVIEaF8KMojNre7A7.jpg
1980-02-08,American Gigolo,"Julian makes a lucrative living as an escort to older women in the Los Angeles area. He begins a relationship with Michelle, a local politician's wife, without expecting any pay. One of his clients is murdered and Detective Sunday begins pumping him for details on his different clients, something he is reluctant to do considering the nature of his work. Julian begins to suspect he's being framed. Meanwhile Michelle begins to fall in love with him.",13.377,451,6.1,en,"Crime, Drama, Romance, Thriller, Mystery",https://image.tmdb.org/t/p/original/igXGCwti23PHOjLKQX6eGIGzQiJ.jpg
2004-09-29,Dead Man's Shoes,A soldier returns home to his small town and exacts a deadly revenge on the thugs who tormented his dimwitted brother while he was away.,13.376,401,7.2,en,"Drama, Thriller, Crime",https://image.tmdb.org/t/p/original/lI7dsNWL8Ue5n5dB5dAdQhTktPe.jpg
2015-10-03,Autumn Dreams,"With plans to leave their small town, teenage loves Annie and Ben elope. Their big city plans are halted, though, when Annie's parents have the marriage annulled. Ben moves to New York, while Annie stays in Iowa to help her family. Fifteen years later, both engaged to their respective fiancés, the two discover that their annulment was never finalized. They reunite to make their divorce legal, but begin to reminisce about what could have been. When romantic feelings resurface, Annie and Ben must decide if their past love could be the love of their future.",13.375,95,6.8,en,"Comedy, TV Movie, Romance",https://image.tmdb.org/t/p/original/rqhBCMzRU6DPhoMIB07bXYcsPNh.jpg
1960-08-12,Black Sunday,A vengeful witch and her fiendish servant return from the grave and begin a bloody campaign to possess the body of the witch's beautiful look-alike descendant. Only the girl's brother and a handsome doctor stand in her way.,13.375,353,7.5,it,Horror,https://image.tmdb.org/t/p/original/wpwETIDNFZQrWYvPjAqv8xOaHtK.jpg
1966-10-19,The Fortune Cookie,"A cameraman is knocked over during a football game. His brother-in-law, as the king of the ambulance-chasing lawyers, starts a suit while he's still knocked out. The cameraman is against it until he hears that his ex-wife will be coming to see him. He pretends to be injured to get her back, but also sees what the strain is doing to the football player who injured him.",13.375,233,7.3,en,"Romance, Comedy",https://image.tmdb.org/t/p/original/el09hjjwOwL2lg6uIkQMg9GC9MI.jpg
1962-01-23,Jules and Jim,"In the carefree days before World War I, introverted Austrian author Jules strikes up a friendship with the exuberant Frenchman Jim. Both men fall for the impulsive and beautiful Catherine, but it's Jules who wins her hand. After the war, Jim visits Jules, Catherine and their daughter in their Austrian home and discovers not only that his feelings for Catherine are unchanged, but also that they're reciprocated.",13.375,736,7.7,fr,"Drama, Romance",https://image.tmdb.org/t/p/original/kuFjZlcZhQFDtIjuI3GQJjsQG03.jpg
2012-10-25,Viva l'Italia,"The story of a leading political man, suddenly telling “all the truth” after a serious illness and therefore overwhelming lifes of anyone surrounding him…",13.373,309,6.3,it,Comedy,https://image.tmdb.org/t/p/original/xVK4lKK0p5qxhWVsQt8EqL3f6jB.jpg
2009-01-24,Prayers for Bobby,"Bobby Griffith was his mother's favorite son, the perfect all-American boy growing up under deeply religious influences in Walnut Creek, California. Bobby was also gay. Struggling with a conflict no one knew of, much less understood, Bobby finally came out to his family.",13.371,434,8.1,en,"Drama, History, TV Movie",https://image.tmdb.org/t/p/original/1viFwXluAettogGDsTrSUUg29lZ.jpg
1956-07-04,Earth vs. the Flying Saucers,"Test space rockets exploding at liftoff and increased reporting of UFO sightings culminate in a direct attempt by alien survivors of a dead, extra-galactic civilization to invade Earth from impervious flying saucers, using ray-weapons of mass destruction.",13.371,114,5.9,en,"Action, Science Fiction",https://image.tmdb.org/t/p/original/qCOLglZvQgQAyWMCZodBo3wmgqp.jpg
2018-08-30,The Quietude,"Against the backdrop of a military dictatorship, Eugenia is reunited with her estranged family following her father’s stroke and is forced to confront dark secret.",13.369,39,5.9,es,"Thriller, Drama",https://image.tmdb.org/t/p/original/mXtwHUVSgR4Ni42eLQzmHYkv6mw.jpg
2002-04-24,Life or Something Like It,"A reporter Lanie Kerrigan interviews a psychic homeless man for a fluff piece about a football game's score. Instead he tells her that her life has no meaning and is going to end in just a few days, which sparks her to action, trying to change the pattern of her life...",13.367,391,5.7,en,"Comedy, Drama, Romance",https://image.tmdb.org/t/p/original/b9lUSfCjv8jjNRSsmk65HEV1Pv3.jpg
2015-04-19,Ashby,"When new kid in town Ed Wallis is given an assignment to interview an older person, he turns to his mysterious neighbor, Ashby Holt for help.  That new connection leads to unexpected journeys for both of them, as Ashby – who turns out to be a retired CIA assassin – deals with a terminal prognosis, and Ed deals with adjusting to life with his newly single mom and developing relationship with a brainy classmate, Eloise.",13.365,381,6.2,en,"Drama, Romance, Comedy",https://image.tmdb.org/t/p/original/hQDEvfqoYD33JnMWKccVDeWOkVG.jpg
2007-12-14,The Kite Runner,"After spending years in California, Amir returns to his homeland in Afghanistan to help his old friend Hassan, whose son is in trouble.",13.365,960,7.3,en,Drama,https://image.tmdb.org/t/p/original/dom2esWWW8C9jS2v7dOhW48LwHh.jpg
2019-10-17,Impetigore,"A woman inherits a house in her ancestral village, but she's unaware that members of the community have been trying to locate and kill her to remove the curse that has plagued them for years.",13.364,79,6.7,id,"Horror, Thriller, Mystery",https://image.tmdb.org/t/p/original/dku2KnAPALsi69MnvTV7cXrylWm.jpg
2015-01-20,The Atticus Institute,"In the early 1970s, Dr. Henry West creates an institute to find people with supernatural abilities. When Judith Winstead comes to the facility, she exhibits amazing abilities that the military wants to turn into a weapon.",13.364,255,5.7,en,Horror,https://image.tmdb.org/t/p/original/43dvapnp9DvDvc8JbLCdq63h3zq.jpg
2005-05-18,I'm in Love With My Little Sister,"Yori and his twin sister Iku used to be very close as children but lately Yori has grown colder toward Iku and is always eager to stay away from her. Iku was confused by Yori's attitude. Actually Yori is in love with Iku and that forbidden love is causing Yori sleepless nights since Yori and Iku are sharing the same room with bunk beds. Yori tried to ease his intense desire for Iku by bedding Iku's best friend. He had even applied to attend a boarding school in another city to take him far away from Iku. Yori lost his resolve to stay quiet about his feelings when Iku started to talk about having a boyfriend and going on dates. Now Yori want to have his little sister and he confessed. Iku loves her big brother and wanted them to stay together, so Iku is willing to anything to keep them together. But Yori wanted to have Iku as a lover, not as a sister loyal to her twin.",13.36,9,5.7,ja,"Romance, Animation, Drama",https://image.tmdb.org/t/p/original/fRdxgR85XX5BAWsPETWW7t3UfdV.jpg
2013-08-23,All Is Lost,"During a solo voyage in the Indian Ocean, a veteran mariner awakes to find his vessel taking on water after a collision with a stray shipping container. With his radio and navigation equipment disabled, he sails unknowingly into a violent storm and barely escapes with his life. With any luck, the ocean currents may carry him into a shipping lane -- but, with supplies dwindling and the sharks circling, the sailor is forced to face his own mortality.",13.359,1319,6.6,en,"Action, Adventure, Drama",https://image.tmdb.org/t/p/original/9cVA4oX2xHgiglv6hemxwAaofsq.jpg
2008-05-13,Amateur Porn Star Killer 2,"Shane Ryan's sequel to the disturbing Amateur Porn Star Killer is a brutal calling card to all those who were enraged by its predecessor (and there were many). Ryan is a force to be reckoned with, and he's not letting up any time soon. The victim here isn't a young girl. This one doesn't just go quietly, either. She fights back. She knows she's in trouble, but she mistakenly thinks she can get away. In other movies, she would escape and somber music would play as the credits creep up the screen. The audience would leave the theatre satisfied that the bad guy got what he deserved. They would go home feeling safe. Ryan doesn't let anyone have such notions. He shows things as they really are. This is what a killer would film. This is how it would look, and if you didn't know any better, you'd swear it was real. (And you still can't be totally sure it's not.)",13.359,14,5.4,en,"Crime, Horror",https://image.tmdb.org/t/p/original/iBmngXVhDuk0oqzv3QSOSvmYcyN.jpg
1992-06-26,Unlawful Entry,"After a break-in at their house, a couple gets help from one of the cops that answered their call. He helps them install the security system, and begins dropping by on short notice and unofficial patrol, and spends a lot of time discussing the couple's problems with the wife. The husband begins wondering if they're getting too much help.",13.358,199,6.1,en,"Crime, Thriller, Mystery",https://image.tmdb.org/t/p/original/sKUk1ca6gHaIopi8VqE8GoxJq6J.jpg
1974-11-06,The Little Prince,"Based on the story by Antoine deSaint-Exupery, this magical musical fable begins as a pilot (Richard Kiley) makes a forced landing on the barren Sahara Desert. He is befriended by a ""little"" prince from the planet Asteroid B-612. In the days that follow, the pilot learns of the small boy's history and planet-hopping journeys in which he met a King, a businessman, an historian, and a general. It isn't until he comes to Earth that the Little Prince learns the secrets of the importance of life from a Fox (Gene Wilder), a Snake (Bob Fosse), and the pilot.",13.357,89,6.6,en,"Science Fiction, Fantasy, Family, Music",https://image.tmdb.org/t/p/original/ts0TGlxlBffnXXOFuzqpuqQEVdp.jpg
1973-10-15,Badlands,"A dramatization of the Starkweather-Fugate killing spree of the 1950s, in which a teenage girl and her twenty-something boyfriend slaughtered her entire family and several others in the Dakota badlands.",13.357,896,7.6,en,"Drama, Crime",https://image.tmdb.org/t/p/original/z81rBzHNgiNLean2JTGHgxjJ8nq.jpg
2020-10-01,Violent Delights,A female vampire falls in love with a man she met in a bar. A male vampire invites a pregnant woman and her friends to watch his theatre play. These two vampires are husband and wife.,13.356,8,3.5,es,Horror,https://image.tmdb.org/t/p/original/4b6HY7rud6LMO00EatxrJfFaBJV.jpg
2016-05-06,The Offering,"When young and successful reporter Jamie finds out that her sister has died in mysterious circumstances, she travels to Singapore to uncover the truth. There, she discovers multiple deaths linked to her sister's and must join forces with her sister's husband in order to defeat a demonic entity that is using new technology to complete an ancient mission.",13.355,94,5.0,en,"Mystery, Thriller, Horror",https://image.tmdb.org/t/p/original/h4uMM1wOhzGpP5GNphloNEHT0jz.jpg
2021-03-31,The United States vs. Billie Holiday,"Billie Holiday spent much of her career being adored by fans. In the 1940s, the government targeted Holiday in a growing effort to racialize the war on drugs, ultimately aiming to stop her from singing her controversial ballad, ""Strange Fruit.""",13.354,152,6.7,en,"Music, Drama, History",https://image.tmdb.org/t/p/original/vEzkxuE2sJcmHYjXQHM8xvR9ICH.jpg
1984-09-23,Threads,"Documentary style account of a nuclear holocaust and its effect on the working class city of Sheffield, England; and the eventual long run effects of nuclear war on civilization.",13.354,186,7.8,en,"War, Drama, Science Fiction",https://image.tmdb.org/t/p/original/lBhU4U9Eehr9shstPem6I7BdkxK.jpg
